elab,d0_true
1.000,-0.10827
2.000,-0.28554
3.000,-0.49120
4.000,-0.71092
5.000,-0.93726
6.000,-1.16591
7.000,-1.39426
8.000,-1.62064
9.000,-1.84404
10.000,-2.06382
11.000,-2.27749
12.000,-2.49116
13.000,-2.69628
14.000,-2.90140
15.000,-3.09802
16.000,-3.29464
17.000,-3.48312
18.000,-3.67161
19.000,-3.85247
20.000,-4.03333
21.000,-4.20711
22.000,-4.38089
23.000,-4.54813
24.000,-4.71537
25.000,-4.87804
26.000,-5.03782
27.000,-5.19351
28.000,-5.34921
29.000,-5.49982
30.000,-5.65043
31.000,-5.79320
32.000,-5.93597
33.000,-6.07873
34.000,-6.22150
35.000,-6.36427
36.000,-6.49752
37.000,-6.63077
38.000,-6.76402
39.000,-6.89727
40.000,-7.03052
41.000,-7.15599
42.000,-7.28146
43.000,-7.40692
44.000,-7.53239
45.000,-7.65786
46.000,-7.77690
47.000,-7.89595
48.000,-8.01500
49.000,-8.13404
50.000,-8.25309
51.000,-8.36680
52.000,-8.48051
53.000,-8.59422
54.000,-8.70793
55.000,-8.82164
56.000,-8.93087
57.000,-9.04011
58.000,-9.14934
59.000,-9.25858
60.000,-9.36781
61.000,-9.47327
62.000,-9.57872
63.000,-9.68418
64.000,-9.78963
65.000,-9.89509
66.000,-9.99733
67.000,-10.09956
68.000,-10.20180
69.000,-10.30404
70.000,-10.40627
71.000,-10.50575
72.000,-10.60522
73.000,-10.70469
74.000,-10.80417
75.000,-10.90364
76.000,-11.00073
77.000,-11.09781
78.000,-11.19490
79.000,-11.29198
80.000,-11.38906
81.000,-11.48406
82.000,-11.57906
83.000,-11.67406
84.000,-11.76906
85.000,-11.86406
86.000,-11.95723
87.000,-12.05040
88.000,-12.14357
89.000,-12.23674
90.000,-12.32991
91.000,-12.42145
92.000,-12.51300
93.000,-12.60454
94.000,-12.69609
95.000,-12.78763
96.000,-12.87773
97.000,-12.96782
98.000,-13.05792
99.000,-13.14801
100.000,-13.23811
101.000,-13.32671
102.000,-13.41450
103.000,-13.50258
104.000,-13.59089
105.000,-13.67914
106.000,-13.76728
107.000,-13.85537
108.000,-13.94367
109.000,-14.03221
110.000,-14.12006
111.000,-14.20642
112.000,-14.29209
113.000,-14.37800
114.000,-14.46411
115.000,-14.55017
116.000,-14.63613
117.000,-14.72206
118.000,-14.80816
119.000,-14.89447
120.000,-14.98018
121.000,-15.06462
122.000,-15.14846
123.000,-15.23251
124.000,-15.31674
125.000,-15.40092
126.000,-15.48501
127.000,-15.56908
128.000,-15.65329
129.000,-15.73769
130.000,-15.82157
131.000,-15.90431
132.000,-15.98653
133.000,-16.06893
134.000,-16.15148
135.000,-16.23400
136.000,-16.31644
137.000,-16.39885
138.000,-16.48140
139.000,-16.56412
140.000,-16.64636
141.000,-16.72757
142.000,-16.80830
143.000,-16.88920
144.000,-16.97024
145.000,-17.05124
146.000,-17.13218
147.000,-17.21308
148.000,-17.29412
149.000,-17.37531
150.000,-17.45606
151.000,-17.53584
152.000,-17.61518
153.000,-17.69468
154.000,-17.77431
155.000,-17.85391
156.000,-17.93344
157.000,-18.01294
158.000,-18.09248
159.000,-18.17213
160.000,-18.25170
161.000,-18.33020
162.000,-18.40815
163.000,-18.48631
164.000,-18.56461
165.000,-18.64288
166.000,-18.72107
167.000,-18.79924
168.000,-18.87753
169.000,-18.95596
170.000,-19.03399
171.000,-19.11113
172.000,-19.18787
173.000,-19.26475
174.000,-19.34175
175.000,-19.41872
176.000,-19.49563
177.000,-19.57251
178.000,-19.64951
179.000,-19.72665
180.000,-19.80339
181.000,-19.87928
182.000,-19.95476
183.000,-20.03039
184.000,-20.10613
185.000,-20.18184
186.000,-20.25750
187.000,-20.33313
188.000,-20.40887
189.000,-20.48475
190.000,-20.56023
191.000,-20.63488
192.000,-20.70913
193.000,-20.78352
194.000,-20.85802
195.000,-20.93248
196.000,-21.00691
197.000,-21.08132
198.000,-21.15580
199.000,-21.23036
200.000,-21.30469